n m duration_ms O(f(n))/T(n)
10001 100000 7050833 0.424028
10001 200000 12183426 0.507205
10001 300000 18713870 -nan
10001 400000 25355814 -nan
10001 500000 32181284 0.456696
10001 600000 38864256 0.473458
10001 700000 50030358 -nan
10001 800000 56580141 -nan
10001 900000 60782702 0.42369
10001 1000000 73260094 0.41488
10001 1100000 75749062 -nan
10001 1200000 87479838 -nan
10001 1300000 95425960 0.365025
10001 1400000 103534528 0.406424
10001 1500000 109999362 0.422445
10001 1600000 118259756 -nan
10001 1700000 126070975 -nan
10001 1800000 134718329 0.395685
10001 1900000 141440368 0.413245
10001 2000000 150168524 -nan
10001 2100000 160251101 -nan
10001 2200000 168145388 0.379096
10001 2300000 175535246 0.399746
10001 2400000 184300913 -nan
10001 2500000 192979509 -nan
10001 2600000 199755742 0.36177
10001 2700000 208172656 0.391686
10001 2800000 216046398 -nan
10001 2900000 224038520 -nan
10001 3000000 234475237 -nan
10001 3100000 240776328 0.383747
10001 3200000 248625875 0.397091
10001 3300000 256209041 -nan
10001 3400000 267210032 -nan
10001 3500000 274492924 0.373113
10001 3600000 280785981 0.392512
10001 3700000 288663712 -nan
10001 3800000 296191435 -nan
10001 3900000 304858344 0.363053
10001 4000000 313028959 0.387562
10001 4100000 321053358 -nan
10001 4200000 326805027 -nan
10001 4300000 333241287 0.331662
10001 4400000 341939756 0.385701
10001 4500000 354200806 0.393036
10001 4600000 360482494 -nan
10001 4700000 367349827 -nan
10001 4800000 375459401 0.37716
10001 4900000 382015366 0.393949
10001 5000000 389821649 -nan
10001 5100000 400517884 -nan
10001 5200000 405017027 0.369692
10001 5300000 418953027 0.385197
10001 5400000 424222682 -nan
10001 5500000 433744517 -nan
10001 5600000 442941682 0.345775
10001 5700000 449301972 0.382179
10001 5800000 457957688 -nan
10001 5900000 459947438 -nan
10001 6000000 468685449 -nan
10001 6100000 480152792 0.37741
10001 6200000 485192158 0.393647
10001 6300000 495807758 -nan
10001 6400000 501346164 -nan
10001 6500000 514738366 0.367676
10001 6600000 519013091 0.388604
10001 6700000 526277269 -nan
10001 6800000 534086102 -nan
10001 6900000 542171036 0.3576
10001 7000000 550185548 0.385022
10001 7100000 574467258 -nan
10001 7200000 564000132 -nan
10001 7300000 570464743 -nan
10001 7400000 577296789 0.383104
10001 7500000 588374022 0.393784
10001 7600000 598847248 -nan
10001 7700000 606978406 -nan
10001 7800000 615141768 0.372532
10001 7900000 613892244 0.394575
10001 8000000 628203731 -nan
10001 8100000 636438300 -nan
10001 8200000 651550564 0.359805
10001 8300000 647619450 0.389443
10001 8400000 655828346 -nan
10001 8500000 666068293 -nan
10001 8600000 674038935 0.340703
10001 8700000 686294369 0.3809
10001 8800000 689213085 0.395485
10001 8900000 702482407 -nan
10001 9000000 707195546 -nan
10001 9100000 714489485 0.37702
10001 9200000 725756195 0.389892
10001 9300000 732516027 -nan
10001 9400000 743711340 -nan
10001 9500000 745894229 0.368776
10001 9600000 767200042 0.381669
10001 9700000 759195006 -nan
10001 9800000 758932378 -nan
10001 9900000 773441085 0.355192
10001 10000000 792333466 0.381039
