n m duration_ms O(f(n))/T(n)
10001 100000 96565379 1.03577
10001 200000 95976661 1.04213
10001 300000 96610476 1.03529
10001 400000 98186925 1.01867
10001 500000 100155853 0.998644
10001 600000 100226046 0.997944
10001 700000 101723588 0.983253
10001 800000 102188633 0.978778
10001 900000 103228263 0.968921
10001 1000000 104628431 0.955954
10001 1100000 105114327 0.951535
10001 1200000 106844667 0.936125
10001 1300000 108071067 0.925502
10001 1400000 110032071 0.909008
10001 1500000 108860627 0.918789
10001 1600000 109264009 0.915398
10001 1700000 110564890 0.904627
10001 1800000 111096172 0.900301
10001 1900000 112097320 0.89226
10001 2000000 112997045 0.885156
10001 2100000 113693570 0.879733
10001 2200000 114555705 0.873112
10001 2300000 114684460 0.872132
10001 2400000 116642077 0.857495
10001 2500000 118978329 0.840657
10001 2600000 120044740 0.833189
10001 2700000 119385872 0.837788
10001 2800000 119997716 0.833516
10001 2900000 120608188 0.829297
10001 3000000 121175088 0.825417
10001 3100000 122201635 0.818483
10001 3200000 123256594 0.811478
10001 3300000 124396232 0.804044
10001 3400000 124639964 0.802471
10001 3500000 125391893 0.797659
10001 3600000 126169951 0.79274
10001 3700000 127068546 0.787134
10001 3800000 127588919 0.783924
10001 3900000 128583204 0.777862
10001 4000000 129668571 0.771351
10001 4100000 130580571 0.765964
10001 4200000 131977495 0.757856
10001 4300000 133905649 0.746944
10001 4400000 132878669 0.752717
10001 4500000 133385225 0.749858
10001 4600000 133526995 0.749062
10001 4700000 134626219 0.742946
10001 4800000 135326220 0.739103
10001 4900000 138166893 0.723907
10001 5000000 140544365 0.711661
10001 5100000 140651040 0.711122
10001 5200000 140098032 0.713929
10001 5300000 141866545 0.705029
10001 5400000 141124060 0.708738
10001 5500000 141278064 0.707966
10001 5600000 142434014 0.70222
10001 5700000 143656400 0.696245
10001 5800000 143651454 0.696269
10001 5900000 145020296 0.689697
10001 6000000 144978671 0.689895
10001 6100000 146246954 0.683912
10001 6200000 147939346 0.676088
10001 6300000 147074570 0.680063
10001 6400000 147834356 0.676568
10001 6500000 149706736 0.668106
10001 6600000 149765531 0.667844
10001 6700000 150659849 0.66388
10001 6800000 150861242 0.662993
10001 6900000 152595133 0.65546
10001 7000000 152709111 0.654971
10001 7100000 154150410 0.648847
10001 7200000 154305485 0.648195
10001 7300000 153992670 0.649511
10001 7400000 155533415 0.643077
10001 7500000 156559433 0.638863
10001 7600000 157694414 0.634265
10001 7700000 159108195 0.628629
10001 7800000 159334692 0.627735
10001 7900000 160572162 0.622898
10001 8000000 161294606 0.620108
10001 8100000 161169831 0.620588
10001 8200000 162061452 0.617173
10001 8300000 162529171 0.615397
10001 8400000 163909823 0.610214
10001 8500000 165217479 0.605384
10001 8600000 164667662 0.607405
10001 8700000 165433281 0.604594
10001 8800000 166413632 0.601032
10001 8900000 167113660 0.598515
10001 9000000 167931856 0.595599
10001 9100000 168315696 0.59424
10001 9200000 169570843 0.589842
10001 9300000 171217004 0.584171
10001 9400000 171281289 0.583952
10001 9500000 171244244 0.584078
10001 9600000 174167277 0.574276
10001 9700000 174886786 0.571913
10001 9800000 175682686 0.569322
10001 9900000 174552104 0.573009
10001 10000000 181630526 0.550678
