n m duration_ms O(f(n))/T(n)
101 5050 216175 0.442925
201 20100 967112 0.456114
301 30100 1522051 0.457044
401 40100 3268394 0.293705
501 50100 3373190 0.36509
601 60100 5081440 0.296941
701 70100 4450068 0.402484
801 80100 4813349 0.431593
901 90100 6086994 0.388918
1001 100100 8128530 0.327303
1101 110100 7139327 0.414118
1201 120100 7032647 0.462867
1301 130100 7660212 0.464248
1401 140100 8294390 0.465317
1501 150100 9101011 0.457627
1601 160100 9583296 0.466659
1701 170100 10196314 0.468915
1801 180100 10854206 0.469124
1901 190100 11590597 0.466269
2001 200100 12212461 0.468229
2101 210100 12792439 0.471651
2201 220100 13479987 0.471089
2301 230100 14521558 0.459199
2401 240100 14641452 0.477245
2501 250100 15335684 0.476538
2601 260100 16276206 0.468761
2701 270100 16824944 0.472655
2801 280100 19113081 0.433012
2901 290100 16823632 0.511247
3001 300100 17242447 0.517726
3101 310100 17968808 0.514985
3201 320100 19015739 0.503866
3301 330100 19406010 0.510667
3401 340100 19803135 0.517065
3501 350100 20468241 0.516403
3601 360100 21178943 0.514711
3701 370100 21902469 0.512865
3801 380100 22868068 0.50576
3901 390100 22939592 0.518722
4001 400100 23630837 0.517693
4101 410100 24436357 0.514336
4201 420100 24970338 0.51678
4301 430100 25779253 0.513612
4401 440100 26402131 0.51426
4501 450100 26794848 0.519326
4601 460100 27802224 0.512678
4701 470100 28304036 -nan
4801 480100 28661846 -nan
4901 490100 31052437 -nan
5001 500100 30110091 -nan
5101 510100 30611992 -nan
5201 520100 31240410 -nan
5301 530100 32005854 -nan
5401 540100 32802347 -nan
5501 550100 33777204 -nan
5601 560100 34029848 -nan
5701 570100 35095096 -nan
5801 580100 35296443 -nan
5901 590100 36248607 -nan
6001 600100 36643929 -nan
6101 610100 37322793 -nan
6201 620100 37881300 -nan
6301 630100 38997312 -nan
6401 640100 39188402 -nan
6501 650100 39499475 -nan
6601 660100 40742616 0.419526
6701 670100 43882291 0.420572
6801 680100 44391496 0.433564
6901 690100 42494162 0.46771
7001 700100 42894193 0.476194
7101 710100 43944852 0.476322
7201 720100 44307614 0.48318
7301 730100 45891614 0.476444
7401 740100 46968874 0.474911
7501 750100 46706074 0.486786
7601 760100 47304176 0.489529
7701 770100 48211880 0.488895
7801 780100 48715854 0.492212
7901 790100 50396046 0.483803
8001 800100 49805931 0.49755
8101 810100 50897600 -nan
8201 820100 50755504 -nan
8301 830100 52444914 -nan
8401 840100 52648627 -nan
8501 850100 53888434 -nan
8601 860100 54590934 -nan
8701 870100 54889936 -nan
8801 880100 55652719 -nan
8901 890100 56374114 -nan
9001 900100 57139221 -nan
9101 910100 56728744 -nan
9201 920100 60658534 -nan
9301 930100 60441971 0.39795
9401 940100 59221124 0.442665
9501 950100 60132136 0.453512
9601 960100 60675537 0.46246
9701 970100 63323365 0.453662
9801 980100 62546461 0.468849
9901 990100 63060539 0.473787
10001 1000100 63749964 0.476835
