n m duration_ms O(f(n))/T(n)
101 5050 46638 0.218727
201 20100 173255 0.233188
301 45150 432461 0.209501
401 80200 1209739 0.132922
501 125250 1820965 0.13784
601 180300 2675047 0.135026
701 245350 2605556 0.188597
801 320400 3345043 0.191807
901 405450 4171503 0.194606
1001 500500 5041144 0.198765
1101 605550 6033705 0.200905
1201 720600 7331860 0.196731
1301 845650 8415913 0.201119
1401 980700 11395591 0.172242
1501 1125750 10310095 0.218524
1601 1280800 11814557 0.216953
1701 1445850 13171071 0.219678
1801 1620900 14694318 0.220738
1901 1805950 16589423 0.217838
2001 2001000 18026137 0.222122
2101 2101000 18912931 0.233396
2201 2201000 21486688 0.225461
2301 2301000 22708441 0.233156
2401 2401000 24035580 0.239844
2501 2501000 25191808 0.248295
2601 2601000 26569814 0.25462
2701 2701000 29170132 0.250098
2801 2801000 28920434 0.271282
2901 2901000 29769477 0.282699
3001 3001000 31214900 0.288516
3101 3101000 32625166 0.294748
3201 3201000 34287315 0.298839
3301 3301000 35405242 0.307768
3401 3401000 36933090 0.313183
3501 3501000 38030560 0.322293
3601 3601000 40071019 0.323605
3701 3701000 40955681 0.334444
3801 3801000 43050643 0.335595
3901 3901000 44744702 0.340103
4001 4001000 45880525 0.348906
4101 4101000 48092307 0.349707
4201 4201000 49469223 0.356755
4301 4301000 50685006 0.364972
4401 4401000 52795889 0.366862
4501 4501000 53737930 0.376996
4601 4601000 55905649 0.378659
4701 4701000 58984380 0.374665
4801 4801000 62608123 0.368157
4901 4901000 86696870 0.277055
5001 5001000 63605372 0.393206
5101 5101000 64942695 0.400664
5201 5201000 66940928 0.404094
5301 5301000 68634301 0.409425
5401 5401000 71275803 0.409267
5501 5501000 72819044 0.415564
5601 5601000 75239100 0.416953
5701 5701000 77801364 0.417748
5801 5801000 78325774 0.429636
5901 5901000 80927704 0.430283
6001 6001000 82920881 0.434294
6101 6101000 84781420 0.439037
6201 6201000 87976796 0.437074
6301 6301000 88025234 0.451037
6401 6401000 89916943 0.455674
6501 6501000 93048219 0.454205
6601 6601000 94902489 0.459137
6701 6701000 97365933 0.461182
6801 6801000 99164408 0.466433
6901 6901000 102804120 0.463248
7001 7001000 103889337 0.47179
7101 7101000 106223661 0.474698
7201 7201000 109705689 0.472668
7301 7301000 111698992 0.477216
7401 7401000 113693428 0.481776
7501 7501000 117226565 0.479968
7601 7601000 118295993 0.488395
7701 7701000 119664293 0.495598
7801 7801000 121827308 0.499523
7901 7901000 125579338 0.497102
8001 8001000 126604936 0.505636
8101 8101000 129879899 0.505284
8201 8201000 132941113 0.505911
8301 8301000 134217194 0.513396
8401 8401000 137316730 0.513971
8501 8501000 140364199 0.514854
8601 8601000 142971712 0.517425
8701 8701000 145452198 0.520497
8801 8801000 147979651 0.523434
8901 8901000 150532663 0.526316
9001 9001000 153417979 0.528087
9101 9101000 155734357 0.531856
9201 9201000 158751894 0.533275
9301 9301000 161753702 0.534817
9401 9401000 163513574 0.540498
9501 9501000 166411377 0.542445
9601 9601000 169370285 0.544247
9701 9701000 171822690 0.547712
9801 9801000 175169930 0.54838
9901 9901000 178231111 0.550015
10001 10001000 180869780 0.552995
