n m duration_ms O(f(n))/T(n)
10001 10002000 319550275 0.945717
10001 10002000 331595096 0.911365
10001 10002000 347887513 0.868684
10001 10002000 350288043 0.86273
10001 10002000 354037140 0.853594
10001 10002000 360386886 0.838555
10001 10002000 362769512 0.833047
10001 10002000 367698726 0.82188
10001 10002000 366939893 0.823579
10001 10002000 377647995 0.800227
10001 10002000 383324277 0.788377
10001 10002000 378021401 0.799437
10001 10002000 383748529 0.787506
10001 10002000 383963984 0.787064
10001 10002000 388613867 0.777646
10001 10002000 387853759 0.77917
10001 10002000 387899804 0.779078
10001 10002000 383064432 0.788912
10001 10002000 389029064 0.776816
10001 10002000 394891434 0.765284
10001 10002000 399256424 0.756917
10001 10002000 394411301 0.766216
10001 10002000 394225347 0.766577
10001 10002000 403815575 0.748372
10001 10002000 399182572 0.757057
10001 10002000 401871837 0.751991
10001 10002000 400229446 0.755077
10001 10002000 402600527 0.75063
10001 10002000 401564790 0.752566
10001 10002000 401606679 0.752488
10001 10002000 413309132 0.731182
10001 10002000 404750002 0.746644
10001 10002000 408870143 0.73912
10001 10002000 415517024 0.727297
10001 10002000 410311316 0.736524
10001 10002000 414134002 0.729726
10001 10002000 408880984 0.739101
10001 10002000 414300968 0.729431
10001 10002000 415280639 0.727711
10001 10002000 411835613 0.733798
10001 10002000 417679862 0.723531
10001 10002000 405686746 0.74492
10001 10002000 411624849 0.734174
10001 10002000 418083268 0.722832
10001 10002000 417240885 0.724292
10001 10002000 414475645 0.729124
10001 10002000 421101158 0.717652
10001 10002000 419555293 0.720296
10001 10002000 415949812 0.72654
10001 10002000 418409455 0.722269
10001 10002000 420990670 0.71784
10001 10002000 415609515 0.727135
10001 10002000 419390396 0.72058
10001 10002000 418916565 0.721395
10001 10002000 419147264 0.720998
10001 10002000 422177057 0.715823
10001 10002000 422891231 0.714614
10001 10002000 420551410 0.71859
10001 10002000 423376360 0.713796
10001 10002000 417543750 0.723766
10001 10002000 424401478 0.712071
10001 10002000 425636987 0.710004
10001 10002000 423710247 0.713233
10001 10002000 425750513 0.709815
10001 10002000 422044036 0.716049
10001 10002000 439064439 0.688291
10001 10002000 425002536 0.711064
10001 10002000 415534842 0.727265
10001 10002000 423043181 0.714358
10001 10002000 429004269 0.704432
10001 10002000 427820208 0.706381
10001 10002000 433334838 0.697392
10001 10002000 432791567 0.698267
10001 10002000 424828761 0.711355
10001 10002000 427651532 0.70666
10001 10002000 426940804 0.707836
10001 10002000 433688607 0.696823
10001 10002000 429443279 0.703711
10001 10002000 430948559 0.701253
10001 10002000 433006796 0.69792
10001 10002000 428427920 0.705379
10001 10002000 437828800 0.690234
10001 10002000 427193583 0.707417
10001 10002000 490307244 0.616357
10001 10002000 435194673 0.694411
10001 10002000 437938614 0.690061
10001 10002000 434692737 0.695213
10001 10002000 439380385 0.687796
10001 10002000 441879355 0.683906
10001 10002000 434400254 0.695681
10001 10002000 438978997 0.688425
10001 10002000 437634643 0.69054
10001 10002000 441142857 0.685048
10001 10002000 440999818 0.68527
10001 10002000 439201113 0.688077
10001 10002000 431727057 0.699989
10001 10002000 435216775 0.694376
10001 10002000 435442468 0.694016
10001 10002000 438284661 0.689516
10001 10002000 434434032 0.695627
10001 10002000 440578343 0.685926
10001 10002000 434521132 0.695488
10001 10002000 437982806 0.689991
10001 10002000 438677047 0.688899
10001 10002000 437490055 0.690768
10001 10002000 441861910 0.683933
10001 10002000 443839708 0.680886
10001 10002000 441464025 0.68455
10001 10002000 439245186 0.688008
10001 10002000 438999401 0.688393
10001 10002000 437176295 0.691264
10001 10002000 446869077 0.67627
10001 10002000 437268568 0.691118
10001 10002000 435496406 0.69393
10001 10002000 446429478 0.676936
10001 10002000 445516869 0.678323
10001 10002000 439518130 0.687581
10001 10002000 440029285 0.686782
10001 10002000 442863119 0.682387
10001 10002000 444254776 0.68025
10001 10002000 444946128 0.679193
10001 10002000 449663499 0.672067
10001 10002000 446301760 0.67713
10001 10002000 449426891 0.672421
10001 10002000 441720753 0.684152
10001 10002000 443874971 0.680832
10001 10002000 443889470 0.680809
10001 10002000 455963676 0.662781
10001 10002000 443763599 0.681003
10001 10002000 443396090 0.681567
10001 10002000 444839553 0.679355
10001 10002000 444040133 0.680578
10001 10002000 450331048 0.671071
10001 10002000 450984097 0.670099
10001 10002000 453065587 0.667021
10001 10002000 446170339 0.677329
10001 10002000 443709367 0.681086
10001 10002000 441461189 0.684554
10001 10002000 451237065 0.669724
10001 10002000 450310566 0.671102
10001 10002000 467047230 0.647053
10001 10002000 455612124 0.663293
10001 10002000 460648282 0.656041
10001 10002000 450752075 0.670444
10001 10002000 455944688 0.662809
10001 10002000 456428485 0.662106
10001 10002000 480893779 0.628422
10001 10002000 485915611 0.621927
10001 10002000 449910242 0.671699
10001 10002000 471218635 0.641325
10001 10002000 451289160 0.669646
10001 10002000 452114048 0.668425
10001 10002000 454614693 0.664748
10001 10002000 456046981 0.66266
10001 10002000 452404747 0.667995
10001 10002000 454223583 0.66532
10001 10002000 459674029 0.657431
10001 10002000 452339950 0.668091
10001 10002000 449906206 0.671705
10001 10002000 449486945 0.672331
10001 10002000 459052783 0.658321
10001 10002000 454018964 0.66562
10001 10002000 446181107 0.677313
10001 10002000 448119215 0.674383
10001 10002000 444546360 0.679803
10001 10002000 451914899 0.668719
10001 10002000 454996745 0.66419
10001 10002000 461111249 0.655382
10001 10002000 459326041 0.657929
10001 10002000 455061015 0.664096
10001 10002000 453247965 0.666752
10001 10002000 459736331 0.657342
10001 10002000 454964282 0.664237
10001 10002000 458053082 0.659758
10001 10002000 456576903 0.661891
10001 10002000 455176508 0.663927
10001 10002000 454610922 0.664753
10001 10002000 455737475 0.66311
10001 10002000 456192085 0.662449
10001 10002000 462419620 0.653528
10001 10002000 454316240 0.665185
10001 10002000 461151368 0.655325
10001 10002000 460422664 0.656362
10001 10002000 454358586 0.665123
10001 10002000 451296477 0.669636
10001 10002000 458642014 0.658911
10001 10002000 459706449 0.657385
10001 10002000 457960023 0.659892
10001 10002000 451090390 0.669941
10001 10002000 453470637 0.666425
10001 10002000 452149790 0.668372
10001 10002000 459248401 0.658041
10001 10002000 459740280 0.657337
10001 10002000 457422009 0.660668
10001 10002000 463518699 0.651978
10001 10002000 462729179 0.653091
10001 10002000 462493281 0.653424
10001 10002000 467634225 0.64624
10001 10002000 455028243 0.664144
