n m duration_ms O(f(n))/T(n)
10001 10002000 180695163 0.553529
10001 10002000 175234452 0.570778
10001 10002000 175391079 0.570268
10001 10002000 175309670 0.570533
10001 10002000 175155866 0.571034
10001 10002000 175236399 0.570772
10001 10002000 175071684 0.571309
10001 10002000 175482071 0.569973
10001 10002000 174335911 0.57372
10001 10002000 175342402 0.570427
10001 10002000 176056033 0.568115
10001 10002000 174737860 0.5724
10001 10002000 175792458 0.568966
10001 10002000 176226059 0.567566
10001 10002000 175800230 0.568941
10001 10002000 177025419 0.565004
10001 10002000 177007272 0.565062
10001 10002000 174358398 0.573646
10001 10002000 175798335 0.568947
10001 10002000 175137926 0.571093
10001 10002000 176039939 0.568167
10001 10002000 175854457 0.568766
10001 10002000 176081848 0.568031
10001 10002000 175940848 0.568487
10001 10002000 175819626 0.568878
10001 10002000 176297213 0.567337
10001 10002000 177552546 0.563326
10001 10002000 176167909 0.567754
10001 10002000 175925778 0.568535
10001 10002000 176112119 0.567934
10001 10002000 178928773 0.558993
10001 10002000 178518888 0.560277
10001 10002000 175595527 0.569604
10001 10002000 175823175 0.568867
10001 10002000 176008492 0.568268
10001 10002000 175214807 0.570842
10001 10002000 176734181 0.565935
10001 10002000 177446756 0.563662
10001 10002000 176916542 0.565351
10001 10002000 175648667 0.569432
10001 10002000 175728746 0.569173
10001 10002000 176381206 0.567067
10001 10002000 176116279 0.56792
10001 10002000 176649356 0.566206
10001 10002000 176252610 0.567481
10001 10002000 176050128 0.568134
10001 10002000 175989582 0.568329
10001 10002000 175852533 0.568772
10001 10002000 175851568 0.568775
10001 10002000 176832994 0.565618
10001 10002000 176634488 0.566254
10001 10002000 175755266 0.569087
10001 10002000 175609269 0.56956
10001 10002000 175604806 0.569574
10001 10002000 175851061 0.568777
10001 10002000 176102779 0.567964
10001 10002000 175340364 0.570433
10001 10002000 175587553 0.56963
10001 10002000 175400386 0.570238
10001 10002000 175523981 0.569837
10001 10002000 175645794 0.569441
10001 10002000 176589165 0.566399
10001 10002000 175507220 0.569891
10001 10002000 176540271 0.566556
10001 10002000 175000577 0.571541
10001 10002000 175988281 0.568333
10001 10002000 176003763 0.568283
10001 10002000 175729171 0.569171
10001 10002000 175578009 0.569661
10001 10002000 175465821 0.570026
10001 10002000 175668292 0.569369
10001 10002000 175811041 0.568906
10001 10002000 175614685 0.569542
10001 10002000 175483029 0.56997
10001 10002000 176292728 0.567352
10001 10002000 176255129 0.567473
10001 10002000 175881128 0.56868
10001 10002000 177101398 0.564761
10001 10002000 175159396 0.571023
10001 10002000 175790669 0.568972
10001 10002000 175734105 0.569155
10001 10002000 175964427 0.56841
10001 10002000 175550981 0.569749
10001 10002000 202436250 0.494081
10001 10002000 176645594 0.566218
10001 10002000 176000935 0.568292
