n m duration_ms
10001 1000100 27133152 1.12033
10001 1000100 24201936 1.25602
10001 1000100 24644908 1.23345
10001 1000100 32906335 0.92378
10001 1000100 26302893 1.1557
10001 1000100 29675047 1.02437
10001 1000100 34824078 0.872908
10001 1000100 29469961 1.0315
10001 1000100 33089449 0.918667
10001 1000100 28564641 1.06419
10001 1000100 32707051 0.929408
10001 1000100 28680540 1.05989
10001 1000100 33906675 0.896526
10001 1000100 30960992 0.981823
10001 1000100 31611354 0.961623
10001 1000100 36194121 0.839866
10001 1000100 31445804 0.966685
10001 1000100 31717635 0.958401
10001 1000100 31716061 0.958448
10001 1000100 36914675 0.823472
10001 1000100 32775732 0.927461
10001 1000100 37497861 0.810665
10001 1000100 33912226 0.896379
10001 1000100 32981469 0.921675
10001 1000100 38846215 0.782527
10001 1000100 33112093 0.918039
10001 1000100 35277641 0.861685
10001 1000100 30730190 0.989197
10001 1000100 37073746 0.819939
10001 1000100 31456775 0.966348
10001 1000100 36053750 0.843136
10001 1000100 31484338 0.965502
10001 1000100 36342943 0.836426
10001 1000100 31704150 0.958808
10001 1000100 33582759 0.905173
10001 1000100 39051350 0.778416
10001 1000100 34246266 0.887635
10001 1000100 39098760 0.777472
10001 1000100 34506985 0.880929
10001 1000100 39820216 0.763386
10001 1000100 34287283 0.886574
10001 1000100 40143713 0.757234
10001 1000100 34403392 0.883581
10001 1000100 39009083 0.77926
10001 1000100 34154294 0.890026
10001 1000100 39601505 0.767602
10001 1000100 34747257 0.874837
10001 1000100 40705158 0.74679
10001 1000100 35232308 0.862793
10001 1000100 39881522 0.762213
10001 1000100 33002180 0.921097
10001 1000100 34632923 0.877725
10001 1000100 38655891 0.786379
10001 1000100 35351113 0.859894
10001 1000100 37823778 0.80368
10001 1000100 32907733 0.92374
10001 1000100 40202385 0.756129
10001 1000100 33259855 0.913961
10001 1000100 35511304 0.856015
10001 1000100 40652412 0.747759
10001 1000100 34525963 0.880445
10001 1000100 38024124 0.799445
10001 1000100 35553443 0.855
10001 1000100 41052694 0.740468
10001 1000100 35786541 0.849431
10001 1000100 41410656 0.734067
10001 1000100 36124427 0.841486
10001 1000100 39714059 0.765427
10001 1000100 36525249 0.832252
10001 1000100 40596918 0.748781
10001 1000100 34143175 0.890316
10001 1000100 38480262 0.789969
10001 1000100 34534971 0.880215
10001 1000100 38362251 0.792399
10001 1000100 34354954 0.884827
10001 1000100 39364182 0.77223
10001 1000100 34160959 0.889852
10001 1000100 36098729 0.842085
10001 1000100 41227403 0.73733
10001 1000100 36610371 0.830317
10001 1000100 42211201 0.720145
10001 1000100 35825757 0.848501
10001 1000100 41491399 0.732639
10001 1000100 36161298 0.840628
10001 1000100 41418302 0.733932
10001 1000100 37639534 0.807614
10001 1000100 39947831 0.760947
10001 1000100 36898312 0.823837
10001 1000100 41617657 0.730416
10001 1000100 36494033 0.832964
10001 1000100 37045479 0.820564
10001 1000100 42200162 0.720334
10001 1000100 37270542 0.815609
10001 1000100 39765739 0.764432
10001 1000100 34486392 0.881455
10001 1000100 42913652 0.708357
10001 1000100 37390317 0.812997
10001 1000100 34858992 0.872033
10001 1000100 42750306 0.711064
10001 1000100 36964397 0.822364
10001 1000100 34668704 0.87682
10001 1000100 39424820 0.771042
10001 1000100 35460282 0.857246
10001 1000100 42352689 0.71774
10001 1000100 34769404 0.87428
10001 1000100 39861209 0.762601
10001 1000100 35137536 0.86512
10001 1000100 42433442 0.716374
10001 1000100 41561023 0.731411
10001 1000100 40196620 0.756238
10001 1000100 36291534 0.837611
10001 1000100 43043468 0.706221
10001 1000100 37815016 0.803866
10001 1000100 40404330 0.75235
10001 1000100 35483526 0.856685
10001 1000100 39612042 0.767398
10001 1000100 35556755 0.854921
10001 1000100 35233877 0.862755
10001 1000100 40496193 0.750643
10001 1000100 35052647 0.867216
10001 1000100 39822468 0.763343
10001 1000100 35660940 0.852423
10001 1000100 35671279 0.852176
10001 1000100 39814283 0.7635
10001 1000100 35365496 0.859544
10001 1000100 40268285 0.754892
10001 1000100 35635884 0.853022
10001 1000100 40448825 0.751522
10001 1000100 38228273 0.795176
10001 1000100 43107320 0.705175
10001 1000100 35807837 0.848926
10001 1000100 41062908 0.740284
10001 1000100 36140963 0.841101
10001 1000100 40207132 0.75604
10001 1000100 35741683 0.850497
10001 1000100 40410624 0.752233
10001 1000100 36184465 0.84009
10001 1000100 41138752 0.738919
10001 1000100 36026227 0.84378
10001 1000100 40529137 0.750033
10001 1000100 36165039 0.840541
10001 1000100 45269452 0.671495
10001 1000100 36173424 0.840346
10001 1000100 40925201 0.742775
10001 1000100 35928024 0.846086
10001 1000100 40617383 0.748404
10001 1000100 36208290 0.839537
10001 1000100 42458672 0.715948
10001 1000100 38940853 0.780625
10001 1000100 43232266 0.703137
10001 1000100 38954189 0.780358
10001 1000100 41293825 0.736144
10001 1000100 37825418 0.803645
10001 1000100 40658541 0.747646
10001 1000100 38596848 0.787582
10001 1000100 43319681 0.701718
10001 1000100 38409395 0.791426
10001 1000100 41091264 0.739773
10001 1000100 36378902 0.8356
10001 1000100 43864695 0.692999
10001 1000100 38567001 0.788192
10001 1000100 43577155 0.697572
10001 1000100 38423152 0.791143
10001 1000100 43365477 0.700977
10001 1000100 38428022 0.791043
10001 1000100 41354990 0.735055
10001 1000100 38893867 0.781568
10001 1000100 43758636 0.694679
10001 1000100 36418526 0.834691
10001 1000100 40625169 0.74826
10001 1000100 36406614 0.834964
10001 1000100 44198071 0.687772
10001 1000100 36221557 0.83923
10001 1000100 40845403 0.744226
10001 1000100 35965485 0.845205
10001 1000100 41149785 0.738721
10001 1000100 38335187 0.792958
10001 1000100 40920915 0.742852
10001 1000100 36721316 0.827808
10001 1000100 41221670 0.737433
10001 1000100 36672845 0.828902
10001 1000100 44495060 0.683181
10001 1000100 40378346 0.752834
10001 1000100 41363317 0.734907
10001 1000100 37135434 0.818577
10001 1000100 44323378 0.685828
10001 1000100 39342962 0.772646
10001 1000100 44923234 0.67667
10001 1000100 36807718 0.825865
10001 1000100 36963712 0.82238
10001 1000100 44336944 0.685618
10001 1000100 37108454 0.819172
10001 1000100 36610048 0.830324
10001 1000100 41833961 0.726639
10001 1000100 36653980 0.829329
10001 1000100 41729305 0.728462
10001 1000100 37156885 0.818104
10001 1000100 42491648 0.715392
10001 1000100 37578097 0.808934
