n m duration_ms
10001 1000100 110399934 0.905979
10001 1000100 110075445 0.90865
10001 1000100 108930395 0.918201
10001 1000100 119747010 0.835261
10001 1000100 109293507 0.91515
10001 1000100 119661000 0.835861
10001 1000100 110507298 0.905099
10001 1000100 119295986 0.838419
10001 1000100 111047924 0.900692
10001 1000100 112321326 0.890481
10001 1000100 109770195 0.911176
10001 1000100 109461896 0.913743
10001 1000100 109617568 0.912445
10001 1000100 118549666 0.843697
10001 1000100 122737522 0.81491
10001 1000100 118610761 0.843262
10001 1000100 118436173 0.844506
10001 1000100 118234815 0.845944
10001 1000100 118280713 0.845615
10001 1000100 118050331 0.847266
10001 1000100 119011266 0.840425
10001 1000100 118129760 0.846696
10001 1000100 109062049 0.917093
10001 1000100 118576540 0.843506
10001 1000100 119124279 0.839627
10001 1000100 118379762 0.844908
10001 1000100 113634078 0.880194
10001 1000100 112985390 0.885247
10001 1000100 118129652 0.846697
10001 1000100 108720179 0.919976
10001 1000100 108693459 0.920203
10001 1000100 109093571 0.916828
10001 1000100 108090267 0.925338
10001 1000100 108088855 0.92535
10001 1000100 116889886 0.855677
10001 1000100 117035200 0.854615
10001 1000100 114641103 0.872462
10001 1000100 118011444 0.847545
10001 1000100 116816169 0.856217
10001 1000100 115928381 0.862774
10001 1000100 117041283 0.85457
10001 1000100 116719248 0.856928
10001 1000100 116084756 0.861612
10001 1000100 115548549 0.86561
10001 1000100 116359403 0.859578
10001 1000100 109653247 0.912148
10001 1000100 116687721 0.85716
10001 1000100 110708369 0.903455
10001 1000100 115505000 0.865937
10001 1000100 115638791 0.864935
10001 1000100 106821109 0.936332
10001 1000100 114254591 0.875413
10001 1000100 115183096 0.868357
10001 1000100 115485985 0.866079
10001 1000100 106164977 0.942119
10001 1000100 115139265 0.868687
10001 1000100 107417141 0.931136
10001 1000100 106832902 0.936228
10001 1000100 114588772 0.87286
10001 1000100 113935364 0.877866
10001 1000100 105383682 0.949103
10001 1000100 104546299 0.956705
10001 1000100 114108181 0.876537
10001 1000100 113651382 0.88006
10001 1000100 113107000 0.884295
10001 1000100 113793621 0.87896
10001 1000100 112474362 0.889269
10001 1000100 112301058 0.890642
10001 1000100 106964744 0.935074
10001 1000100 120222688 0.831956
10001 1000100 106664651 0.937705
10001 1000100 109119162 0.916613
10001 1000100 104439291 0.957686
10001 1000100 105859539 0.944837
10001 1000100 103282188 0.968415
10001 1000100 103166972 0.969496
10001 1000100 103329077 0.967975
10001 1000100 102984860 0.971211
10001 1000100 112149415 0.891846
10001 1000100 115253135 0.867829
10001 1000100 111745718 0.895068
10001 1000100 111278300 0.898828
10001 1000100 111812333 0.894535
10001 1000100 105499736 0.948059
10001 1000100 111865163 0.894112
10001 1000100 110365977 0.906258
10001 1000100 102944457 0.971592
10001 1000100 111243697 0.899107
10001 1000100 111659768 0.895757
10001 1000100 111668465 0.895687
10001 1000100 110202291 0.907604
10001 1000100 111198453 0.899473
10001 1000100 110150013 0.908034
10001 1000100 102946613 0.971572
10001 1000100 101780913 0.982699
10001 1000100 110322930 0.906611
10001 1000100 102890238 0.972104
10001 1000100 102431476 0.976458
10001 1000100 109686374 0.911873
10001 1000100 109462634 0.913736
10001 1000100 100541847 0.99481
10001 1000100 101728145 0.983209
10001 1000100 105184679 0.950899
10001 1000100 109758481 0.911274
10001 1000100 100306636 0.997142
10001 1000100 105199407 0.950766
10001 1000100 107525767 0.930196
10001 1000100 108727084 0.919918
10001 1000100 104223714 0.959666
10001 1000100 101204624 0.988295
10001 1000100 109615945 0.912459
10001 1000100 101708841 0.983395
10001 1000100 108166543 0.924685
10001 1000100 100053092 0.999669
10001 1000100 99750714 1.0027
10001 1000100 100748639 0.992768
10001 1000100 99818451 1.00202
10001 1000100 99754862 1.00266
10001 1000100 99974064 1.00046
10001 1000100 99495906 1.00527
10001 1000100 99713866 1.00307
10001 1000100 99475749 1.00547
10001 1000100 99851635 1.00169
10001 1000100 99924692 1.00095
10001 1000100 99538647 1.00484
10001 1000100 106444921 0.939641
10001 1000100 104722185 0.955098
10001 1000100 101213975 0.988203
10001 1000100 107098099 0.93391
10001 1000100 106551422 0.938702
10001 1000100 99405018 1.00619
10001 1000100 101675413 0.983719
10001 1000100 99350035 1.00674
10001 1000100 99413674 1.0061
10001 1000100 101179872 0.988537
10001 1000100 99913213 1.00107
10001 1000100 99368109 1.00656
10001 1000100 99938050 1.00082
10001 1000100 99462758 1.0056
10001 1000100 99509405 1.00513
10001 1000100 99793279 1.00227
10001 1000100 99938201 1.00082
10001 1000100 99754246 1.00266
10001 1000100 100976471 0.990528
10001 1000100 99633188 1.00388
10001 1000100 99969880 1.0005
10001 1000100 105189627 0.950854
10001 1000100 109751477 0.911332
10001 1000100 107888888 0.927065
10001 1000100 108464800 0.922142
10001 1000100 112612492 0.888179
10001 1000100 100370084 0.996512
10001 1000100 107433704 0.930993
10001 1000100 104325626 0.958729
10001 1000100 108018784 0.92595
10001 1000100 104472521 0.957381
10001 1000100 107549272 0.929992
10001 1000100 100493617 0.995287
10001 1000100 99788613 1.00232
10001 1000100 99960656 1.00059
10001 1000100 105107987 0.951593
10001 1000100 107800424 0.927826
10001 1000100 108093425 0.925311
10001 1000100 108319289 0.923381
10001 1000100 107956778 0.926482
10001 1000100 105497780 0.948077
10001 1000100 105510323 0.947964
10001 1000100 102184044 0.978822
10001 1000100 105349592 0.94941
10001 1000100 99927426 1.00093
10001 1000100 100310225 0.997107
10001 1000100 101222780 0.988118
10001 1000100 105227984 0.950508
10001 1000100 100802551 0.992237
10001 1000100 100448646 0.995733
10001 1000100 100330173 0.996908
10001 1000100 102183716 0.978825
10001 1000100 102964382 0.971404
10001 1000100 100210669 0.998097
10001 1000100 100809104 0.992172
10001 1000100 100412398 0.996092
10001 1000100 108770170 0.919554
10001 1000100 109201982 0.915917
10001 1000100 104374573 0.958279
10001 1000100 101519338 0.985231
10001 1000100 108466119 0.922131
10001 1000100 108850521 0.918875
10001 1000100 110445749 0.905603
10001 1000100 103537211 0.96603
10001 1000100 101659472 0.983873
10001 1000100 109427917 0.914026
10001 1000100 100115543 0.999046
10001 1000100 100356124 0.996651
10001 1000100 100445553 0.995763
10001 1000100 101024831 0.990054
10001 1000100 101290982 0.987452
10001 1000100 102157510 0.979076
10001 1000100 106625092 0.938053
10001 1000100 102721680 0.973699
